Academic Year,Subject Id,Subject Code,Subject Number,Print Subject Id,Subject Short Title,Subject Title,Total Units,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2018,14.01,14,01,14.01,"Principles of Microeconomics","Principles of Microeconomics",12.00,Y,Y,N,Y,N
2018,14.02,14,02,14.02,"Principles of Macroeconomics","Principles of Macroeconomics",12.00,Y,Y,N,Y,N
2018,14.773,14,773,14.773,"Political Econ: Insts & Dev","Political Economy: Institutions and Development",12.00,Y,N,N,Y,N
2018,14.781,14,781,14.781J,"Pol Econ I:Theor of State&Econ","Political Economy I: Theories of the State and the Economy",12.00,Y,N,N,Y,N
2018,14.999,14,999,14.999,"Topics in Inequality","Topics in Inequality",6.00,N,N,N,Y,N
2018,14.THG,14,THG,14.THG,Thesis,"Graduate Thesis",0.00,Y,Y,Y,Y,Y
2018,14.THU,14,THU,14.THU,Thesis,Thesis,0.00,Y,Y,Y,Y,Y
2018,14.UR,14,UR,14.UR,"Undergraduate Research","Undergraduate Research",0.00,Y,Y,Y,Y,Y
2018,14.461,14,461,14.461,"Advanced Macroeconomics I","Advanced Macroeconomics I",12.00,Y,Y,N,N,N
2018,14.462,14,462,14.462,"Advanced Macroeconomics II","Advanced Macroeconomics II",12.00,Y,N,N,Y,N
2018,14.471,14,471,14.471,"Public Economics I","Public Economics I",12.00,Y,Y,N,N,N
2018,14.473,14,473,14.473,"Public Pol in Health Economics","Public Policy in Health Economics",12.00,N,N,N,Y,N
2018,14.54,14,54,14.54,"International Trade","International Trade",12.00,Y,Y,N,N,N
2018,14.581,14,581,14.581,"International Economics I","International Economics I",12.00,Y,Y,N,N,N
2018,14.582,14,582,14.582,"International Economics II","International Economics II",12.00,Y,N,N,Y,N
2018,14.64,14,64,14.64,"Labor Econ & Public Policy","Labor Economics and Public Policy",12.00,N,N,N,Y,N
2018,14.661,14,661,14.661,"Labor Economics I","Labor Economics I",12.00,Y,Y,N,N,N
2018,14.662,14,662,14.662,"Labor Economics II","Labor Economics II",12.00,Y,N,N,Y,N
2018,14.472,14,472,14.472,"Public Economics II","Public Economics II",12.00,Y,N,N,Y,N
2018,14.440,14,440,14.440J,"Adv Topics Financial Economics","Advanced Topics in Financial Economics",12.00,Y,N,N,Y,N
2018,14.441,14,441,14.441J,"Advanced Corporate Finance","Advanced Corporate Finance",12.00,Y,N,N,Y,N
2018,14.442,14,442,14.442J,"Advanced Financial Econ III","Advanced Financial Economics III",12.00,Y,Y,N,N,N
2018,14.444,14,444,14.444J,"Energy Economics & Policy","Energy Economics and Policy",12.00,Y,N,N,Y,N
2018,14.451,14,451,14.451,"Dynamic Optimization Methods","Dynamic Optimization Methods with Applications",6.00,Y,Y,N,N,N
2018,14.452,14,452,14.452,"Economic Growth","Economic Growth",6.00,Y,Y,N,N,N
2018,14.46,14,46,14.46,"Innovation Policy & Economy","Innovation Policy and the Economy",12.00,Y,N,N,Y,N
2018,14.07,14,07,14.07,"Financial Mkts & the Macroecon","Financial Markets and the Macroeconomy",12.00,Y,Y,N,N,N
2018,14.130,14,130,14.130,"Reading Economic Theory","Reading Economic Theory",12.00,Y,Y,N,N,N
2017,17.504,17,504,17.504,"Ethnic Politics I","Ethnic Politics I",12.00,N,Y,N,N,N
2018,17.506,17,506,17.506,"Ethnic Politics","Ethnic Politics",12.00,N,N,N,Y,N
2018,17.509,17,509,17.509,"Soc Move in Comp Perspect","Social Movements in Comparative Perspective",12.00,N,N,N,Y,N
2018,17.515,17,515,17.515,"Comparative Electoral Politics","Comparative Electoral Politics",12.00,N,N,N,Y,N
2018,17.516,17,516,17.516,"Transitional Justice","Transitional Justice",12.00,N,N,N,Y,N
2017,17.517,17,517,17.517,"Forms of Participation","Participation in Public Life",12.00,N,N,N,Y,N
2018,17.523,17,523,17.523,"Ethnic Conflict World Politics","Ethnic Conflict in World Politics",12.00,N,Y,N,N,N
2018,17.480,17,480,17.480,"Modern Military Ops","Understanding Modern Military Operations",12.00,Y,N,N,Y,N
2018,17.482,17,482,17.482,"US Military Power","US Military Power",12.00,Y,N,N,Y,N
2018,17.483,17,483,17.483,"US Military Power","US Military Power",12.00,Y,N,N,Y,N
2018,17.484,17,484,17.484,"Comp Grand Strategy& Mil Doctr","Comparative Grand Strategy and Military Doctrine",12.00,N,Y,N,N,N
2018,17.486,17,486,17.486,"Japan & East Asian Security","Japan and East Asian Security",12.00,N,Y,N,N,N
2018,17.50,17,50,17.50,"Intro to Comparative Politics","Introduction to Comparative Politics",12.00,Y,Y,N,N,N
2018,17.447,17,447,17.447,Cybersecurity,Cybersecurity,12.00,N,N,N,Y,N
2018,17.448,17,448,17.448,Cybersecurity,Cybersecurity,12.00,N,N,N,Y,N
2018,17.450,17,450,17.450,"History Strategy Statecraft","History, Strategy, and Statecraft: Historical Methods for International Relations",12.00,Y,N,N,Y,N
2018,17.468,17,468,17.468,"Foundations: Security Studies","Foundations of Security Studies",12.00,N,Y,N,N,N
2018,17.473,17,473,17.473,"Politics of Nuclear Prolifratn","The Politics of Nuclear Proliferation",12.00,Y,N,N,Y,N
2018,17.474,17,474,17.474J,"Nucl Weapons & Inter Security","Nuclear Weapons and International Security",12.00,Y,N,N,Y,N
2018,17.478,17,478,17.478,"Great Power Mil Intervention","Great Power Military Intervention",12.00,Y,Y,N,N,N
2018,17.428,17,428,17.428,"Amer Foreign Pol:Theory & Meth","American Foreign Policy: Theory and Method",12.00,N,N,N,Y,N
2018,17.430,17,430,17.430,"Rsrch Sem: Internatl Relations","Research Seminar in International Relations",12.00,Y,N,N,Y,N
2018,17.432,17,432,17.432,"Causes of War: Theory & Method","Causes of War: Theory and Method",12.00,Y,N,N,Y,N
2018,17.433,17,433,17.433,"Internatl Relatns of East Asia","International Relations of East Asia",12.00,Y,N,N,Y,N
2018,17.434,17,434,17.434,"Internatl Relatns of East Asia","International Relations of East Asia",12.00,Y,N,N,Y,N
2018,17.436,17,436,17.436,"Territorial Conflict","Territorial Conflict",12.00,N,N,N,Y,N
2018,17.445,17,445,17.445,"International Relations Theory","International Relations Theory in the Cyber Age",12.00,Y,Y,N,N,N
2018,17.446,17,446,17.446,"International Relations Theory","International Relations Theory in the Cyber Age",12.00,Y,Y,N,N,N
2018,17.410,17,410,17.410,"Globlzatn,Migratn,Intl Relatns","Globalization, Migration, and International Relations",12.00,N,N,N,Y,N
2018,17.411,17,411,17.411,"Globlzatn,Migratn,Intl Relatns","Globalization, Migration, and International Relations",12.00,N,N,N,Y,N
2018,17.418,17,418,17.418,"Field Sem: Intl Relatns Theory","Field Seminar in International Relations Theory",12.00,Y,Y,N,N,N
2018,17.42,17,42,17.42,"Causes & Prevention of War","Causes and Prevention of War",12.00,Y,N,N,Y,N
2018,17.420,17,420,17.420,"Theory: Internatl Relations","Advances in International Relations Theory",12.00,N,Y,N,N,N
2018,17.524,17,524,17.524,"State Society Behavior","State, Society, and Political Behavior in Developing Contexts",12.00,N,Y,N,N,N
2017,17.528,17,528,17.528,"Civil Society, Social Capital","Civil Society, Social Capital, and the State in Comparative Perspective",12.00,N,N,N,Y,N
2018,17.53,17,53,17.53,"The Rise of Asia","The Rise of Asia",12.00,Y,N,N,Y,N
2018,17.537,17,537,17.537,"Politics &Policy:Contemp Japan","Politics and Policy in Contemporary Japan",12.00,N,Y,N,N,N
2018,17.538,17,538,17.538,"Politics &Policy:Contemp Japan","Politics and Policy in Contemporary Japan",12.00,N,Y,N,N,N
2018,17.55,17,55,17.55J,"Intro to Latin Amer Studies","Introduction to Latin American Studies",12.00,Y,N,N,Y,N
2018,17.561,17,561,17.561,"European Politics","European Politics",12.00,Y,N,N,Y,N
2018,17.922,17,922,17.922,"MLK Design Seminar","Martin Luther King, Jr. Design Seminar",12.00,Y,N,Y,N,N
2018,17.923,17,923,17.923,"MLK Desgn Sem for Facilitators","Martin Luther King, Jr. Design Seminar for Facilitators/Teachers",12.00,Y,N,Y,N,N
2018,17.925,17,925,17.925,"Sci & Tech Policy Boot Camp","Fundamentals of Science and Technology Public Policy Making: Science and Technology Policy Boot Camp",0.00,Y,N,Y,N,N
2018,17.954,17,954,17.954,"Reading Seminar in Soc Science","Reading Seminar in Social Science",0.00,Y,Y,N,Y,Y
2018,17.955,17,955,17.955,"Reading Seminar in Soc Science","Reading Seminar in Social Science",0.00,Y,Y,N,Y,Y
2018,17.01,17,01,17.01J,Justice,Justice,12.00,Y,N,N,Y,N
2018,17.021,17,021,17.021J,"Philosophy of Law","Philosophy of Law",12.00,N,N,N,Y,N
2018,17.03,17,03,17.03,"Intro to Political Thought","Introduction to Political Thought",12.00,N,N,N,Y,N
2018,17.035,17,035,17.035J,"Libertarianism in History","Libertarianism in History",12.00,Y,N,N,Y,N
